Название;Автор;Наличие;Цена со скидкой;Цена без скидки;Скидка
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе;Заметти Франк;На складе;1285;1835;30
Машинное обучение для алгоритмической торговли на финансовых рынках. Практикум;Янсен Стефан;На складе;1271;1815;30
Java Concurrency на практике;Гетц Брайан и др.;На складе;1345;1724;22
Kubernetes для DevOps: развертывание, запуск и масштабирование в облаке;Арундел Джон, Домингус Джастин;На складе;1902;2438;22
C# 8.0. Карманный справочник;Албахари Джозеф, Албахари Бен;На складе;969;1384;30
Введение в информационный поиск;Маннинг Кристофер Д. и др.;На складе;3630;5186;30
Нейронные сети и глубокое обучение. Учебный курс;Аггарвал Чару;На складе;3025;4322;30
Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство;Дейли Брэд и др.;На складе;2419;3456;30
Разработка игр на Unity 2018 за 24 часа;Гейг Майк;На складе;1314;1685;22
R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации;Лонг Дж. Д., Титор Пол;На складе;2284;3263;30
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j;Нидхем Марк, Ходлер Эми;На складе;1428;2040;30
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун;Чукич Иван;На складе;1428;2040;30
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие;Пащенко Федор Федорович и др.;На складе;1530;2186;30
Python. Непрерывная интеграция и доставка;Ленц Мориц;На складе;789;1127;30
Изучаем Python. Программирование игр, визуализация данных, веб-приложения;Мэтиз Эрик;На складе;1304;1672;22
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл;Тоуманнен Бриан;На складе;1285;1835;30
Объектно-ориентированный подход;Вайсфельд Мэтт;На складе;1019;1307;22
Разработка с использованием квантовых компьютеров;Силва Владимир;На складе;1630;2090;22
C++. Практика многопоточного программирования;Уильямс Энтони;На складе;1950;2500;22
Laravel. Полное руководство;Стаффер Мэтт;На складе;1685;2160;22
Java. Библиотека профессионала. Том 2. Расширенные средства программирования;Хорстманн Кей С.;На складе;3025;4322;30
Изучаем Python. Том 2;Лутц Марк;На складе;3025;4322;30
Программирование логических контроллеров. Учебное пособие;Иванов Виктор Никитович;На складе;977;1395;30
Волшебство Kotlin;Симон Пьер-Ив;На складе;1713;2447;30
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие;Карпов Дмитрий Анатольевич, Струченков Валерий Иванович;На складе;510;729;30
Обработка естественного языка с TensorFlow;Ганегедара Тушан;На складе;1713;2447;30
С/С++ Процедурное программирование;Полубенцева М. И.;На складе;921;1316;30
Информационные системы и программирование. Администратор баз данных. Учебник;Логачев Максим Сергеевич;На складе;2722;3888;30
Программное обеспечение компьютерных сетей. Учебное пособие;Исаченко Олег Вячеславович;На складе;1089;1556;30
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики;Гартман Томаш Николаевич, Клушин Дмитрий Витальевич;На складе;2720;3885;30
Клиентские технологии веб-программирования: JavaScript и DOM;Диков Андрей Валентинович;На складе;1127;1610;30
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения;Будума Нихиль;На складе;1452;1862;22
Алгоритмы. Вводный курс;Кормен Томас;На складе;731;1044;30
DevOps для современного предприятия;Херинг Мирко;На складе;999;1427;30
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений;Пошевай Майа;На складе;1428;2040;30
ELIXIR в действии;Юрич Саша;На складе;1713;2447;30
Глубокое обучение для поисковых систем;Теофили Томмазо;На складе;1428;2040;30
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие;Гуриков Сергей Ростиславович;На складе;2359;3370;30
HTML и CSS. Разработка и дизайн веб-сайтов;Дакетт Джон;На складе;1397;1791;22
Байесовский анализ на Python;Мартин Освальдо;На складе;1285;1835;30
Состязательные сети. Проекты;Ахирвар Кайлаш;На складе;1285;1835;30
Прикладное глубокое обучение. Подход к пониманию глубоких нейронных сетей на основе метода кейсов;Микелуччи Умберто;На складе;745;1064;30
JavaFX;Прохоренок Николай Анатольевич;На складе;1165;1664;30
Основы программирования на языке С. Учебное пособие;Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна;На складе;1397;1996;30
Программирование на языке Си. Учебное пособие;Кузин Александр Владимирович, Чумакова Екатерина Витальевна;На складе;1161;1659;30
Разработка мобильных приложений на C# для iOS и Android;Черников Вячеслав;На складе;1142;1631;30
JavaScript для профессионалов;Резиг Джон и др.;Ограничено;1210;1728;30
C. Полное руководство. Классическое издание;Шилдт Герберт;Ожидается;3456;3456;0
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки;Де Йонге Дерек;На складе;856;1223;30
Как стать хакером;Притяну Эдриан;На складе;1285;1835;30
Шаблоны проектирования для облачной среды;Дэвис Корнелия;На складе;1428;2040;30
SQL для чайников;Тейлор Аллен Дж.;На складе;1453;2075;30
Введение в архитектуру программного обеспечения. Учебное пособие;Гагарина Лариса Геннадьевна и др.;На складе;1978;2826;30
Библия C#;Фленов Михаил Евгеньевич;На складе;674;963;30
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей;Форд Мартин;На складе;988;1267;22
Глубокое обучение и игра в го;Памперла Макс, Фергюсон Кевин;На складе;1856;2651;30
Разработка игр на Unreal Engine 4 за 24 часа;Куксон Арам и др.;На складе;1643;2107;22
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие;Залогова Любовь Алексеевна;На складе;1100;1572;30
Квантовые вычисления для настоящих айтишников;Бернхард Крис;На складе;963;1235;22
Знакомство с PyTorch: глубокое обучение при обработке естественного языка;Макмахан Брайан, Рао Делип;На складе;1083;1389;22
Разработка требований к программному обеспечению;Вигерс Карл, Битти Джой;На складе;1058;1512;30
1400 задач по программированию;Златопольский Дмитрий Михайлович;На складе;438;626;30
Бессерверные приложения на JavaScipt;Стоянович Слободан, Симович Александар;На складе;1356;1937;30
Head First. Kotlin;Гриффитс Дэвид, Гриффитс Дон;На складе;1618;2074;22
Алгоритмы и программы. Язык С++. Учебное пособие;Конова Елена Александровна, Поллак Галина Андреевна;Ограничено;1726;2465;30
Программирование в среде Delphi. Создание проектов. Учебное пособие;Саблукова Наталья Геннадьевна;Ограничено;311;444;30
Программирование в среде Delphi. Основные команды. Первые проекты;Саблукова Наталья Геннадьевна;Ограничено;483;690;30
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие;Гуриков Сергей Ростиславович;На складе;3611;5159;30
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики;Дьяконов Владимир Павлович, Круглов Владимир Васильевич;На складе;1271;1816;30
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB;;На складе;281;401;30
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB;;На складе;393;561;30
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB;;Ограничено;189;270;30
VHDL. Справочное пособие по основам языка;Бабак В. П. и др.;На складе;717;1024;30
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB;;На складе;393;561;30
Компьютерный анализ четырехполюсников с помощью MATLAB;;На складе;610;872;30
Компьютерный анализ четырехполюсников с помощью MATLAB;;На складе;248;354;30
Компьютерный спектральный анализ сигналов с помощью MATLAB;;На складе;585;835;30
Компьютерный спектральный анализ сигналов с помощью MATLAB;;На складе;232;332;30
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте;Меджуи Мехди и др.;На складе;2024;2595;22
Глубокое обучение в биологии и медицине;Рамсундар Бхарат и др.;На складе;999;1427;30
Современный язык Java. Лямбда-выражения, потоки и функциональное программирование;Урма Рауль-Габриэль и др.;На складе;1815;2327;22
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие;Немцова Тамара Игоревна и др.;На складе;3067;4381;30
Управление качеством программного обеспечения. Учебник;Черников Борис Васильевич;На складе;1488;2126;30
Математическое программирование. Учебное пособие;Ржевский Сергей Владимирович;На складе;2504;3577;30
Практика нейросетевого моделирования. Учебное пособие;Хливненко Любовь Владимировна, Пятакович Феликс Андреевич;Ограничено;1642;2346;30
Python и анализ данных;Маккини Уэс;На складе;1856;2651;30
Алгоритмы эволюционной оптимизации;Саймон Дэн;На складе;2855;4079;30
Прикладные задачи оптимизации. Модели, методы, алгоритмы;Струченков Валерий Иванович;На складе;650;928;30
C#. Программирование 2D и 3D векторной графики (+CD);Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич;На складе;1933;2762;30
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие;Диков Андрей Валентинович;На складе;1322;1889;30
Технология разработки программного обеспечения. Учебное пособие;Зубкова Татьяна Михайловна;На складе;2087;2982;30
C++ за 21 день;Рао Сиддхартха;Ограничено;1814;2592;30
Рефакторинг с использованием шаблонов;Кериевски Джошуа;Ограничено;2668;3811;30
Docker на практике;Миллан Иан, Сейерс Эйдан Хобсон;На складе;1999;2855;30
Swift подробно;Чейрд Инт Вейн;На складе;1999;2855;30
Линейная алгебра и линейное программирование для экономистов. Учебник;Швед Евгений Вадимович и др.;На складе;960;1371;30
Java. Справочник разработчика;Эванс Бенджамин, Флэнаган Дэвид;На складе;2419;3456;30
Оптимизация программ на C++. Проверенные методы повышения производительности;Гантерот Курт;На складе;1814;2592;30
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие;Герман-Галкин Сергей Германович;На складе;361;516;30
Самоучитель Ruby;Симдянов Игорь Вячеславович;На складе;1006;1437;30
Блокчейн. Руководство для начинающих разработчиков;Сингхал Бикрамадитья и др.;На складе;592;845;30
PHP глазами хакера;Фленов Михаил Евгеньевич;На складе;487;695;30
Идиомы и паттерны проектирования в современном С++;Пикус Федор Г.;На складе;1570;2243;30
Основы тестирования и верификации программного обеспечения;Старолетов Сергей Михайлович;На складе;2295;3279;30
Изучаем Python. Том 1;Лутц Марк;На складе;3025;4322;30
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода;Фаулер Мартин;На складе;2419;3456;30
Data mining. Извлечение информации из Facebook, Twitter, LinkedIn, Instagram, GitHub;Рассел Мэтью, Классен Михаил;На складе;1395;1789;22
Путь Python. Черный пояс по разработке, масштабированию, тестированию и развертыванию;Данжу Джульен;На складе;1026;1315;22
Безопасный DevOps. Эффективная эксплуатация систем;Вехен Джульен;На складе;1482;1900;22
Язык программирования Python: практикум. Учебное пособие;Жуков Роман Александрович;Ограничено;1343;1919;30
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов;Чио Кларенс, Фримэн Дэвид;На складе;1356;1937;30
Разработка интеллектуальных систем. Введение в технологию машинного обучения;Хултен Джефф;На складе;1285;1835;30
Язык программирования С++. Специальное издание;Страуструп Бьерн;На складе;1378;1968;30
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие;Алибеков Игорь Юсупович;Ограничено;1355;1936;30
Экстремальное программирование. Разработка через тестирование;Бек Кент;На складе;955;1224;22
Объектно-ориентированное программирование с примерами на C#. Учебное пособие;Хорев Павел Борисович;На складе;1615;2307;30
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие;;На складе;281;401;30
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие;;На складе;532;760;30
Программирование. Сборник задач. Учебное пособие;Архипов Олег Григорьевич и др.;Ограничено;1252;1789;30
Python. Книга Рецептов;Бизли Дэвид, Джонс Брайан К.;На складе;2284;3263;30
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи;Равичандиран Судхарсан;На складе;1173;1504;22
Основы Java;Прохоренок Николай Анатольевич;На складе;1058;1512;30
Машинное обучение с использованием Python. Сборник рецептов;Элбон Крис;На складе;713;1019;30
Грокаем глубокое обучение;Траск Эндрю;На складе;950;1218;22
Практика реактивного программирования в SPRING 5;Докука Олег, Лозинский Игорь;На складе;2141;3059;30
Как программировать на С;Дейтел Харви, Дейтел Пол Дж.;На складе;1306;1866;30
Нейросетевые методы в обработке естественного языка;Гольдберг Йоав;На складе;1713;2447;30
Практическая энциклопедия Arduino;Петин Виктор Александрович, Биняковский Александр Анатольевич;На складе;717;1024;30
Предиктивное моделирование на практике;Кун Макс, Джонсон Кьелл;На складе;2161;2771;22
Микросервисы. Паттерны разработки и рефакторинга;Ричардсон Крис;На складе;1683;2158;22
Выразительный JavaScript. Современное веб-программирование;Хавербеке Марейн;На складе;1739;2230;22
Системы счисления, алгоритмизация и программирование. Учебное пособие;Игнашева Елена Петровна;На складе;1488;2126;30
Практическое введение в программную инженерию. Учебное пособие;Волк Владимир Константинович;Ограничено;1203;1719;30
Проектирование цифровых устройств на ПЛИС. Учебное пособие;Ушенина Инна Владимировна;Ограничено;1892;2703;30
HTML5 и CSS3 для чайников;Титтел Эд, Минник Крис;Ограничено;1210;1728;30
Введение в технологии контейнеров и Kubernetes;Маркелов Андрей Александрович;На складе;856;1223;30
Логическое проектирование и верификация систем на SystemVerilog;Дональд Томас;На складе;1428;2040;30
C# для чайников;Мюллер Джон Пол и др.;На складе;1210;1728;30
Глубокое обучение. Готовые решения;Осинга Давид;На складе;969;1384;30
Изучаем TypeScript 3;Розенталс Натан;На складе;1999;2855;30
Введение в веб-разработку на языке JavaScript. Учебное пособие;Государев Илья Борисович;Ограничено;1427;2038;30
Программирование компьютерной графики;Боресков Алексей Викторович;На складе;1213;1733;30
Высокопроизводительный код на платформе .NET;Уотсон Бен;На складе;1707;2189;22
Совершенный алгоритм. Графовые алгоритмы и структуры данных;Рафгарден Тим;На складе;1087;1394;22
{Вы не знаете JS} Асинхронная обработка и оптимизация;Симпсон Кайл;На складе;1047;1342;22
{Вы не знаете JS} Замыкания и объекты;Симпсон Кайл;На складе;1047;1342;22
{Вы не знаете JS} Типы и грамматические конструкции;Симпсон Кайл;На складе;952;1220;22
Основы теории вейвлетов. Вейвлеты в Matlab;Смоленцев Николай Константинович;На складе;1428;2040;30
Изучаем React;Чиннатамби Кирупа;На складе;1031;1322;22
Python для чайников;Мюллер Джон Пол;Ограничено;1210;1728;30
Введение в рекурсивное программирование;Рубио-Санчес Мануэль;На складе;1856;2651;30
Изучение сложных систем с помощью Python.;Дауни Аллен Б.;На складе;789;1127;30
Вероятностное программирование на Python. Байесовский вывод и алгоритмы;Дэвидсон-Пайлон Кэмерон;На складе;1523;1953;22
JavaScript для чайников;Минник Крис, Холланд Ева;На складе;1210;1728;30
Легкий способ выучить Python 3;Шоу Зед А.;На складе;707;906;22
Конкурентность и параллелизм на платформе .NET. Паттерны эффективного проектирования;Террелл Рикардо;На складе;1983;2542;22
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.;Ластер Брент;На складе;1999;2855;30
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов;Пай Прасид, Абрахам Питер;На складе;1285;1835;30
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах;Коке Боб, Киссинждер Алекс;На складе;2855;4079;30
Unreal Engine VR для разработчиков;Маккефри Митч;На складе;905;1160;22
Язык программирования Python. Практикум. Учебное пособие;Жуков Роман Александрович;Ограничено;1434;2048;30
Django 2 в примерах;Меле Антонио;На складе;1428;2040;30
Глубокое обучение без математики. Том 1. Основы;Гласснер Эндрю;На складе;2427;3467;30
Программирование в среде Lazarus. Учебное пособие;Гуриков Сергей Ростиславович;Ограничено;2323;3318;30
Введение в программную инженерию. Учебник;Антипов Владимир Анатольевич и др.;На складе;2050;2929;30
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов;Затонский Андрей Владимирович, Бильфельд Николай Валентинович;На складе;1044;1491;30
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие;Лисьев Григорий Авенирович и др.;На складе;907;1296;30
Технологии параллельного программирования. Учебное пособие;Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич;На складе;1280;1828;30
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем;Паттанаяк Сантану;На складе;1814;2592;30
Введение в анализ алгоритмов;Солтис Майкл;На складе;1285;1835;30
Наш код. Ремесло, профессия, искусство;Бугаенко Егор;На складе;831;1065;22
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие;Бунаков Павел Юрьевич, Лопатин А. К.;На складе;2304;3292;30
Анализ вредоносных программ;Монаппа К. А.;На складе;1428;2040;30
Стандарты программирования на С++. 101 правило и рекомендация;Саттер Герб, Александреску Андрей;Ограничено;1334;1906;30
Java. Библиотека профессионала. Том 1. Основы;Хорстманн Кей С.;На складе;3025;4322;30
JavaScript. Карманный справочник;Флэнаган Дэвид;На складе;935;1335;30
Искусство программирования. Том 3. Сортировка и поиск;Кнут Дональд Эрвин;На складе;4235;6050;30
Применение UML 2.0 и шаблонов проектирования;Ларман Крэг;На складе;4668;6669;30
Программирование на Javascript для чайников;Минник Крис, Холланд Ева;На складе;1210;1728;30
Язык программирования C++. Краткий курс;Страуструп Бьярне;На складе;1210;1728;30
Численные методы и программирование. Учебное пособие;Колдаев Виктор Дмитриевич;На складе;2087;2981;30
Kafka Streams в действии. Приложения и микросервисы для работы в реальном времени;Беджек Билл;На складе;1776;2277;22
Микросервисы и контейнеры Docker;Кочер Парминдер Сингх;На складе;1285;1835;30
Биометрическая защита. Обзор технологии;Суомалайнен Антти;На складе;232;331;30
Легкий способ выучить Java;Пейн Брайсон;На складе;812;1041;22
Программирование в Erlang;Томпсон Саймон, Чезарини Франческо;На складе;999;1427;30
Искусственный интеллект для чайников;Мюллер Джон Пол, Массарон Лука;На складе;1210;1728;30
GraphQL. Язык запросов для современных веб-приложений;Бэнкс Алекс, Порселло Ева;На складе;901;1155;22
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2;Горелов Сергей Витальевич;На складе;1180;1685;30
Компьютерное зрение. Теория и алгоритмы;Клетте Рейнхард;На складе;2427;3467;30
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM;Эванс Бенджамин и др.;На складе;1814;2592;30
Vue.js в действии;Хэнчетт Эрик, Листоун Бенджамин;На складе;1355;1737;22
Искусство программирования на R. Погружение в большие данные;Мэтлофф Норман;На складе;1185;1519;22
Базовые средства программирования на Visual Basic в среде VisualStudio Net. Практикум. Учебное пособ;Шакин Виктор Николаевич;Ограничено;1978;2826;30
Алгоритмизация и программирование. Практикум. Учебное пособие;Андрианова Анастасия Александровна и др.;Ограничено;1517;2167;30
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие;Апанасевич Сергей Александрович;На складе;1184;1691;30
Самоучитель игры на Паскале. ABC и немного Турбо;Комлев Николай Юрьевич;На складе;559;860;35
Алгоритмические трюки для программистов;Уоррен Генри С.;На складе;1814;2592;30
Unity и C#. Геймдев от идеи до реализации;Бонд Джереми Гибсон;На складе;2553;3273;22
PostgreSQL 11. Мастерство разработки;Шениг Ганс-Юрген;На складе;1428;2040;30
Распределенные системы. Паттерны проектирования;Бернс Брендан;На складе;979;1255;22
Django 2.1. Практика создания веб-сайтов на Python;Дронов Владимир Александрович;На складе;1011;1444;30
Искусственный интеллект. Современный подход;Рассел Стюарт, Норвиг Питер;Ограничено;7258;10368;30
TensorFlow для глубокого обучения;Рамсундар Бхарат, Заде Реза Босаг;На складе;631;902;30
Разработка АСУТП в среде WinCC. Учебное пособие;Иванов Виктор Эдуардович, Чье Ен Ун;На складе;1628;2326;30
Автоматизация программируемых сетей;Эделман Джейсон и др.;На складе;2141;3059;30
Пользовательские истории. Искусство гибкой разработки ПО;Паттон Джефф;На складе;1027;1317;22
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие";Дадян Эдуард Григорьевич;На складе;2050;2929;30
Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие;Шакин Виктор Николаевич;На складе;2304;3292;30
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие;Федотов Александр Александрович;На складе;594;849;30
Изучаем HTML, XHTML и CSS;Робсон Элизабет, Фримен Эрик;На складе;2172;2785;22
Изучаем pandas;Хейдт Майкл, Груздев Артем Владимирович;На складе;2427;3467;30
Умные мобильные проекты с TensorFlow;Танг Джефф;На складе;1428;2040;30
Алгоритмы на Java;Седжвик Роберт, Уэйн Кевин;На складе;5335;7622;30
C++. Полное руководство. Классическое издание;Шилдт Герберт;На складе;3025;4322;30
Spring 5 для профессионалов;Шефер Крис и др.;На складе;4840;6914;30
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта;Джоши Пратик;На складе;2419;3456;30
Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры;Келлехер Джон Д. и др.;Ограничено;3025;4322;30
Разработка SCADA-систем. Учебное пособие;Кангин Владимир Венедиктович и др.;На складе;1787;2553;30
Язык и среда программирования R. Учебное пособие;Золотарюк Анатолий Васильевич;На складе;1016;1452;30
Прагматичный ИИ. Машинное обучение и облачные технологии;Гифт Ной;На складе;1349;1730;22
Язык программирования С++ (стандарт С++11). Краткий курс;Страуструп Бьерн;На складе;442;631;30
Самоучитель системного администратора;Кенин Александр Михайлович;На складе;794;1134;30
Внедрение Splunk 7;Миллер Джеймс;На складе;1856;2651;30
Машинное обучение и TensorFlow;Шакла Нишант;На складе;1297;1663;22
Spring. Все паттерны проектирования;Раджпут Динеш;Ограничено;1728;2216;22
Дискретная математика. Учимся программировать в Wolfram Mathematica;Фридман Григорий Морицович, Иванов О. А.;На складе;807;1035;22
Большие данные. Принципы и практика построения масштабируемых систем обработки данных в реальном вр.;Марц Натан, Уоррен Джеймс;На складе;1814;2592;30
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1;Горелов Сергей Витальевич;На складе;998;1426;30
Основы технологий баз данных. Учебное пособие;Новиков Борис Асенович, Горшкова Екатерина Александровна;На складе;856;1223;30
Mathematica 5/6/7. Полное руководство;Дьяконов Владимир Павлович;На складе;1285;1835;30
Git для профессионального программиста;Чакон Скотт, Страуб Бен;На складе;1233;1581;22
Простой Python просто с нуля;Гаско Рик;На складе;602;860;30
C++. Базовый курс;Шилдт Герберт;На складе;1814;2592;30
Linux. Карманный справочник;Граннеман Скотт;На складе;1210;1728;30
Управление программными проектами. Стандарты, модели;Ехлаков Юрий Поликарпович;На складе;1768;2526;30
Моделирование объектов управления в MatLab. Учебное пособие;Затонский Андрей Владимирович, Тугашова Лариса Геннадьевна;На складе;1252;1789;30
Основы алгоритмизации и программирования. Практикум. ФГОС;Серкова Екатерина Геннадьевна;На складе;459;589;22
Программирование на C# для начинающих. Особенности языка;Васильев Александр Николаевич;На складе;861;1104;22
Компиляторы. Принципы, технологии и инструментарий;Ахо Альфред В. и др.;На складе;6049;8642;30
Архитектура вычислительных систем и Ассемблер;Гагарина Лариса Геннадьевна, Кононова Александра Игоревна;На складе;767;1095;30
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие;Милорадов Константин Александрович, Эйдлина Галина Михайловна;На складе;748;1069;30
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие;Милорадов Константин Александрович, Эйдлина Галина Михайловна;На складе;853;1219;30
Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие;Винарский Яков Самуилович, Гутгарц Римма Давыдовна;На складе;1561;2230;30
Суперкомпьютерные вычисления: практический подход;Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич;На складе;547;782;30
Java. Эффективное программирование;Блох Джошуа;На складе;2419;3456;30
Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5;Никсон Робин;На складе;1617;2073;22
DevOps для ИТ-менеджеров;Скрынник Олег;На складе;928;1325;30
Kubernetes в действии;Лукша Марко;На складе;2141;3059;30
Смарт-карты и информационная безопасность;Мытник Константин Яковлевич, Панасенко Сергей Петрович;На складе;1428;2040;30
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14;Мейерс Скотт;На складе;2419;3456;30
CSS. Карманный справочник;Мейер Эрик;На складе;731;1044;30
Пользовательские истории. Гибкая разработка программного обеспечения;Кон Майк;На складе;2419;3456;30
Паскаль для школьников. Учебное пособие;Попов В. Б.;На складе;2267;3487;35
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих;Бхаргава Адитья;На складе;820;1051;22
Архитектура компьютера;Таненбаум Эндрю, Остин Т.;На складе;1494;1915;22
Java. Руководство для начинающих;Шилдт Герберт;На складе;2419;3456;30
Алгоритмы. Построение и анализ;Кормен Томас и др.;На складе;6049;8642;30
Изучай Erlang во имя добра!;Хеберт Фред;На складе;1285;1835;30
Программируй на Haskell;Курт Уилл;На складе;1713;2447;30
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник";Дадян Эдуард Григорьевич;На складе;2577;3681;30
Алгоритмы на C++;Седжвик Роберт;На складе;3630;5186;30
Теоретический минимум по Big Data. Всё что нужно знать о больших данных;Ын Анналин, Су Кеннет;На складе;681;873;22
HTML, JavaScript, PHP и MySQL. Джентльм.наб. Изд.5;Дронов Владимир Александрович, Прохоренок Николай Анатольевич;На складе;1122;1603;30
Проекты с использованием контроллера Arduino;Петин Виктор Александрович;На складе;624;892;30
Основы программирования на языке Python;Златопольский Дмитрий Михайлович;На складе;579;827;30
Методы научных исследований в программной инженерии;Пантелеев Евгений Рафаилович;На складе;816;1166;30
Python. Экспресс-курс;Седер Наоми;На складе;1155;1481;22
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие;Симонова Елена Витальевна;На складе;1064;1520;30
Программируем на Python;Доусон Майкл;На складе;1087;1393;22
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1;Кнут Дональд Эрвин;Ограничено;4840;6914;30
Практика программирования;Керниган Брайан, Пайк Роб;На складе;1210;1728;30
Введение в системы баз данных;Дейт К. Дж.;Ожидается;6050;6050;0
Unity в действии. Мультиплатформенная разработка на C#;Хокинг Джозеф;На складе;1155;1481;22
Решение задач на современном C++;Бансила Мариус;На складе;1142;1631;30
Философия Java;Эккель Брюс;На складе;1960;2513;22
Python для сложных задач. Наука о данных и машинное обучение;Плас Дж. Вандер;На складе;1513;1940;22
Python 3. Самое необходимое;Прохоренок Николай Анатольевич, Дронов Владимир Александрович;На складе;826;1180;30
Разработка программных приложений в среде BlackBox. Учебное пособие;Болотнов Анатолий Миронович;На складе;1058;1511;30
Технологии интеллектуального анализа данных. Учебное пособие;Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич;На складе;1401;2001;30
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере;О`Двайр Артур;На складе;1428;2040;30
Начинаем программировать на Python;Гэддис Тони;На складе;1461;2087;30
Python 3 и PyQt 5. Разработка приложений. 2-е издание;Прохоренок Николай Анатольевич, Дронов Владимир Александрович;На складе;1122;1603;30
Язык программирования C;Керниган Брайан, Ритчи Деннис;На складе;1453;2075;30
Построение систем машинного обучения на языке Python;Коэльо Луис Педро, Ричарт Вилли;На складе;999;1427;30
Head First. Паттерны проектирования. Обновленное юбилейное издание;Фримен Эрик и др.;На складе;1494;1915;22
C# для профессионалов. Тонкости программирования;Скит Джон;На складе;3025;4322;30
Python. Карманный справочник;Лутц Марк;На складе;969;1384;30
Искусство программирования. Том 1. Основные алгоритмы;Кнут Дональд Эрвин;На складе;4235;6050;30
Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений;Хоп Грегор, Вульф Бобби;На складе;4235;6050;30
Язык программирования C. Лекции и упражнения;Прата Стивен;Ожидается;5186;5186;0
C# 4.0. Полное руководство;Шилдт Герберт;На складе;3025;4322;30
Реализация методов предметно-ориентированного проектирования;Вернон Вон;На складе;4002;5717;30
