Название;Автор;Наличие;Цена со скидкой;Цена без скидки;Скидка
JavaScript с нуля;Чиннатамби Кирупа;На складе;1223;1568;22
Наглядный CSS;Сидельников Грег;На складе;1112;1425;22
Scala. Профессиональное программирование;Одерски Мартин и др.;На складе;4219;5409;22
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов;Умрихин Евгений Дмитриевич;Ограничено;2190;3129;30
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО;Умрихин Евгений Дмитриевич;На складе;2087;2982;30
Программирование.Сборник задач.СПО;Батасова Валентина Сергеевна, Гречкина Полина Викторовна;Ограничено;1113;1590;30
Математическое программирование.СПО;Ганичева Антонина Валериановна;Ограничено;905;1293;30
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;Йо Ван Гуй;На складе;1428;2040;30
Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика;Роббинс Дженнифер Нидерст;На складе;1852;2646;30
Разработка веб-приложений на WordPress;Мессенленер Брайан, Коулман Джейсон;На складе;1165;1664;30
Парадигма программирования. Учебное пособие;Городняя Лидия Васильевна;На складе;1674;2391;30
ASP.NET Core 3 с примерами на C# для профессионалов;Фримен Адам;На складе;4840;6914;30
PowerShell для сисадминов;Бертрам Адам;На складе;1840;2359;22
Защита данных. От авторизации до аудита;Андресс Джейсон;На складе;1223;1568;22
Создаем динамические веб-сайты на PHP;Татро Кевин, Макинтайр Питер;На складе;1840;2359;22
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие;Алибеков Игорь Юсупович;На складе;1355;1936;30
HTTP/2 в действии;Поллард Барри;На складе;1856;2651;30
Методика моделирования динамики октокоптера;Щекатуров Александр Михайлович;На складе;1142;1631;30
Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое;Курт Уилл;На складе;2210;2833;22
Python. Лучшие практики и инструменты;Яворски Михаил, Зиаде Терек;На складе;2210;2833;22
Raspberry Pi 4. Официальное руководство для начинающих;Халфакри Гарет;На складе;1428;2040;30
Laravel 8. Быстрая разработка веб-сайтов на PHP;Дронов Владимир Александрович;На складе;1048;1497;30
Разработка Android-приложений на С# с использованием Xamarin с нуля;Умрихин Евгений Дмитриевич;На складе;692;988;30
Атаки на веб и WordPress;;На складе;519;741;30
Linux глазами хакера;Фленов Михаил Евгеньевич;На складе;692;988;30
Вероятностное программирование;Колбин Вячеслав Викторович;Ограничено;2167;3096;30
C# 9.0. Карманный справочник;Албахари Джозеф, Албахари Бен;На складе;1210;1728;30
Восстановление данных. Практическое руководство;Касперски Крис и др.;На складе;642;917;30
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие;Пащенко Федор Федорович, Кудинов Юрий Иванович;Ограничено;2504;3577;30
Обработка естественного языка. Python и spaCy на практике;Васильев Юрий;На складе;1229;1576;22
Python для финансовых расчетов;Хилпиш Ив;На складе;4840;6914;30
Разработка и анализ компьютерных алгоритмов;Ахо Альфред В. и др.;На складе;1814;2592;30
Научное программирование на Python;Хилл Кристиан;На складе;2284;3263;30
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку на JavaScript;Заяц Анатолий Моисеевич, Васильев Николай Павлович;На складе;1376;1966;30
C#. Основы программирования (+CD). СПО;Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич;На складе;1796;2566;30
C#. Программирование 2D и 3D векторной графики (+CD). СПО;Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич;На складе;1796;2566;30
Алгоритмизация и программирование. Практикум. СПО;Андрианова Анастасия Александровна;Ограничено;1408;2011;30
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows;Заяц Анатолий Моисеевич, Хабаров Сергей Петрович;На складе;1490;2128;30
Построение распределенных систем на базе WebSocket. Учебное пособие;Хабаров Сергей Петрович, Шилкина Мария Львовна;Ограничено;1402;2003;30
Практическое введение в язык программирования Си. СПО;Солдатенко Илья Сергеевич, Попов Иван Владимирович;На складе;951;1358;30
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО;Заяц Анатолий Моисеевич, Васильев Николай Павлович;Ограничено;1033;1475;30
Введение в язык Си++;Столяров Андрей Викторович;На складе;1141;1630;30
Оформление программного кода;Столяров Андрей Викторович;На складе;951;1358;30
Простой Python для опытных программистов;Гаско Рик;На складе;718;1025;30
Профессиональная разработка на Python;Уилкс Мэттью;На складе;2427;3467;30
Программируй & типизируй;Ришкуция Влад;На складе;1773;2273;22
Основы Python. Научитесь мыслить как программист;Дауни Аллен Б.;На складе;991;1271;22
SimInTech. Преобразователи автономных источников электроэнергии;Калачёв Ю. Н., Александров А. Г.;На складе;438;626;30
JavaScript. Готовые программы. Учебное пособие;Янцев Валерий Викторович;Ограничено;1252;1789;30
JavaScript. Готовые программы. СПО;Янцев Валерий Викторович;На складе;1113;1590;30
TypeScript быстро;Файн Яков, Моисеев Антон;На складе;1974;2531;22
C# 8 и .NET Core. Разработка и оптимизация;Прайс Марк Дж.;На складе;2735;3507;22
Основы программирования на языке С. Учебное пособие;Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна;На складе;1797;2567;30
Основы программирования на языке С. Учебное пособие;Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна;На складе;1797;2567;30
Java. Быстрый старт;Чан Джейми;На складе;807;1035;22
Python. Быстрый старт;Чан Джейми;На складе;807;1035;22
CSS для профи;Грант Кит;На складе;1597;2048;22
Kubernetes. Лучшие практики. Построение эффективных приложений;Бернс Брендан и др.;На складе;1209;1550;22
C++ для профи;Лоспинозо Джош;На складе;2581;3309;22
Интеллектуальные информационные системы и методы искусственного интеллекта;Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна;На складе;4111;5873;30
Современный скрапинг веб-сайтов с помощью Python;Митчелл Райан;На складе;1765;2263;22
Инструментальные средства разработки программного обеспечения Системы Fossil;Орещенков Игорь Сергеевич;На складе;1810;2585;30
Эффективный Java. Тюнинг кода на Java 8, 11 и дальше;Оукс Скотт;На складе;2567;3291;22
Веб-разработка с применением Node и Express. Полноценное использование стека JavaScript;Браун Итан;На складе;1630;2090;22
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes;Индрасири Касун, Курупу Данеш;На складе;1357;1740;22
Python. Сборник упражнений;Стивенсон Бен;На складе;856;1223;30
Совершенный алгоритм. Алгоритмы для NP-трудных задач;Рафгарден Тим;На складе;1494;1915;22
Стильный Java. Код, который работает всегда и везде;Фаэлла Марко;На складе;1923;2465;22
Внедрение зависимостей на платформе .NET;Симан Марк, Дерсен Стивен Ван;На складе;2567;3291;22
От монолита к микросервисам;Ньюмен Сэм;На складе;745;1064;30
Электроника. Занимательная электроника;Ревич Юрий Всеволодович;На складе;794;1134;30
Проекты с использованием контроллера Arduino;Петин Виктор Александрович;На складе;745;1064;30
Карьера программиста;Лакман Макдауэлл Гейл;На складе;1604;2057;22
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие;Мурсаев Александр Хафизович, Буренева Ольга Игоревна;На складе;855;1222;30
Глубокое обучение. Легкая разработка проектов на Python;Вейдман Сет;На складе;2295;2942;22
Паттерны проектирования для C# и платформы .NET Core;Арораа Гаурав, Чилберто Джеффри;На складе;2649;3396;22
Структуры и алгоритмы обработки данных. Учебник для СПО;Павлов Леонид Александрович, Первова Наталия Викторовна;Ограничено;1052;1503;30
Численные методы и программирование. Учебное пособие для СПО;Слабнов Виктор Дмитриевич;На складе;2783;3975;30
Технология разработки программного обеспечения. Учебное пособие для СПО;Зубкова Татьяна Михайловна;На складе;1847;2638;30
“Непрактичный” Python. Занимательные проекты для тех, кто хочет поумнеть;Воган Ли;На складе;847;1210;30
Разработка приложений на Swift 5.1 и SwiftUI с нуля;Казанский Александр Анатольевич;На складе;745;1064;30
WordPress с нуля;Молочков Владимир Петрович;На складе;487;695;30
Изучаем C++ через программирование игр;Доусон Майкл;На складе;868;1113;22
Совершенный софт. Совершенный софт — совершенная;Леве Джувел;На складе;1753;2247;22
Spark в действии. С примерами Java, Python и Scala;Перрен Жан-Жорж;На складе;2427;3467;30
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников;Фоукс Линда, Спарроу Уоррен;На складе;1428;2040;30
Еще более эффективный Agile;Макконнелл Стив;На складе;1209;1550;22
Секреты Python Pro;Хиллард Дейн;На складе;1888;2421;22
Программирование на Python в примерах и задачах;Васильев Алексей Николаевич;На складе;902;1157;22
Моделирование и оптимизация процессов управления в технологических системах. Учебник;Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна;На складе;998;1425;30
Квантовые вычисления. Прикладной подход;Хидари Джек Д.;На складе;1428;2040;30
JavaScript. Полное руководство;Флэнаган Дэвид;На складе;3025;4322;30
Проектирование информационных систем. Основы управления проектами. СПО;Баллод Борис Анатольевич, Гвоздева Татьяна Вадимовна;На складе;566;808;30
Проектирование информационных систем. Методы и средства структурно-функционального проектирования;Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич;Ограничено;1044;1492;30
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО;Симонова Елена Витальевна;На складе;1113;1590;30
